0.41	1.529568767223982
0.432	1.527078429140649
0.454	1.524957845732356
0.476	1.523133173849853
0.498	1.52154825283689
0.52	1.520159688246276
0.542	1.518933478310894
0.564	1.51784264788692
0.586	1.516865556749028
0.608	1.515984669181555
0.63	1.5151856452759
0.652	1.5144566604974599
0.674	1.5137878897669719
0.696	1.513171111794838
0.718	1.51259940245443
0.74	1.512066894864639
0.762	1.5115685899968851
0.784	1.511100205933553
0.806	1.510658056970485
0.828	1.510238955962558
0.85	1.5098401349174289
0.872	1.50945918002393
0.894	1.509093978179181
0.916	1.5087426727363331
0.938	1.508403626692332
0.96	1.508075391914238
0.982	1.5077566832938412
1.004	1.507446356945594
1.026	1.507143391738333
1.048	1.506846873588731
1.07	1.506555982052903
1.092	1.506269978838561
1.114	1.5059881979287
1.136	1.505710037062794
1.158	1.505434950365746
1.18	1.505162441950729
1.202	1.5048920603511688
1.224	1.504623393660961
1.246	1.504356065281525
1.268	1.5040897301903788
1.29	1.503824071659213
1.312	1.503558798360447
1.334	1.503293641810449
1.356	1.503028354105252
1.378	1.5027627059110231
1.4	1.502496484676945
1.422	1.502229493042732
1.444	1.501961547416827
1.466	1.501692476704625
1.488	1.501422121168822
1.51	1.501150331406369
1.532	1.500876967428522
1.554	1.500601897832236
1.576	1.500324999052613
